Name,Type,Adress,Country,Description,Investment Focus,Target Countries ,Number of Investments,Stage Focus,Ticket size,Pitch process,Backers or partners,Founders,Founder tip,Number of Funds,Year founded,Active since,CB Rank,Open rate,Lead,Legal Status,Portfolio highlights,Phone Number,Contact Email,Website,LinkedIn,Other social Links,Target_Countries_List,profile_text,Target_Countries_Mapped
khalid alhadlaq,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",United Arab Emirates,"Khalid is an active angel investor in early-stage technology companies with 17 years of experience and a General Management education from Harvard Business School. After an exciting career at Microsoft and Logica, Khalid co-founded and managed Xceed Ventures, a social media intelligence company that got acquired. He currently serves as the CreativeSolutions Director at the Central Payment System of Saudi Arabia to support the development of FinTechs in Saudi and bring disruptive innovation.","Software / SaaS, Social Media & Platforms","United States, United Arab Emirates",,"Seed, Funding Round",,,,,,,,,,,,,"Digitzs â€”\nTaste â€” User Reviews and Recommendations From Like-Minded People For Movies and TV Shows at Taste.\nQIDZ LLC â€” The family guide for best inspiration, deals and rewards for kids activities. Browse on QiDZ now and start creating family memories today.",,,https://www.alhadlaq.net/,,,"['United States', 'United Arab Emirates']","Focus areas: Software, Apps, Social Network. Stage focus: Seed, Funding Round. Khalid is an active angel investor in early-stage technology companies with 17 years of experience and a General Management education from Harvard Business School. After an exciting career at Microsoft and Logica, Khalid co-founded and managed Xceed Ventures, a social media intelligence company that got acquired. He currently serves as the CreativeSolutions Director at the Central Payment System of Saudi Arabia to support the development of FinTechs in Saudi and bring disruptive innovation.. Country: United Arab Emirates. Target countries: United States, United Arab Emirates. Portfolio: Digitzs â€”\nTaste â€” User Reviews and Recommendations From Like-Minded People For Movies and TV Shows at Taste.\nQIDZ LLC â€” The family guide for best inspiration, deals and rewards for kids activities. Browse on QiDZ now and start creating family memories today.",United Arab Emirates
stc ventures,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,"STC Ventures is an independently managed venture capital fund whose anchor investor is the Saudi Telecom Company. Our goal is to empower entrepreneurs to create market leading technology businesses. We are focused on equity investments that will help to build leading companies in the information technology, telecommunications, and digitalmedia/entertainment sectors. One of the key objectives of our fund is to support the development of innovative technology companies in the GCC, wider MENA region and Turkey, in addition to funding globally minded international companies seeking capital and access to the MENA region.","Fashion & Lifestyle, Legal & Consulting","United Arab Emirates, Japan, Turkey",,"Series C, Series B, Series A",,,,,,,,,,,,,"Modanisa â€” Modanisa is an online fashion retailer for women's Islamic clothing, dresses and accessories. The site offers clothing and accessories to women of all ages and offers shipping and delivery all over the world. The site also trends latest hijab styles for women along with fashion tips for the Muslim regions. Designer abayas and jilbabs, Kayra,Armine, Aker and Tekbir are also sold online.\nNile â€” Reliability and predictability in enterprise network performance and TCO - backed by SLA guarantees. The Nile solution just works.\nyallacompare â€” Compare the best car insurance, credit card and personal loan providers in Dubai & the UAE with yallacompare",,,http://stcventures.com/en/about,,"http://www.facebook.com/STC-Ventures/250813084992487 , [http://twitter.com/stcventures","['United Arab Emirates', 'Japan', 'Turkey']","Focus areas: Fashion, Developer APIs, Professional Services. Stage focus: Series C, Series B, Series A. STC Ventures is an independently managed venture capital fund whose anchor investor is the Saudi Telecom Company. Our goal is to empower entrepreneurs to create market leading technology businesses. We are focused on equity investments that will help to build leading companies in the information technology, telecommunications, and digitalmedia/entertainment sectors. One of the key objectives of our fund is to support the development of innovative technology companies in the GCC, wider MENA region and Turkey, in addition to funding globally minded international companies seeking capital and access to the MENA region.. Country: United Arab Emirates. Target countries: United Arab Emirates, Japan, Turkey. Portfolio: Modanisa â€” Modanisa is an online fashion retailer for women's Islamic clothing, dresses and accessories. The site offers clothing and accessories to women of all ages and offers shipping and delivery all over the world. The site also trends latest hijab styles for women along with fashion tips for the Muslim regions. Designer abayas and jilbabs, Kayra,Armine, Aker and Tekbir are also sold online.\nNile â€” Reliability and predictability in enterprise network performance and TCO - backed by SLA guarantees. The Nile solution just works.\nyallacompare â€” Compare the best car insurance, credit card and personal loan providers in Dubai & the UAE with yallacompare",United Arab Emirates
xtech ventures,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,"XTech Ventures aims to achieve dramatic growth for investee companies by supporting entrepreneurship, multifaceted management support, and IPO support for the excellent middle class who are enthusiastic about entrepreneurship.","Manufacturing & Industry, Software / SaaS, Media & Marketing","Japan, Italy, United Arab Emirates",,"Seed, Funding Round, Series A",,,,,,,,,,,,,"Medigle â€” Medigle is a consulting firm that provides medical consulting and B2B services.\nInfobox â€” Infobox is a sales data platform that includes every detail from market research to creating a list of companies and contacting decision-makers.\nLeading Mark â€” Leading Mark, a rising human resources startup in Japan. Leading Mark is branching out into mid-career and international hiring. It currently has a one-man team in China working to bring the top Japanese-speaking Chinese students to domestic companies. He also touts his startupâ€™s focus on the average job seeker. â€œWe want to make sure that the usersget the info that he or she needs the most,â€_x009d_ he says. Large scale, legacy players can sometimes prioritize the needs of the hiring company, and their commission, over the needs of applicants themselves. This leads to frustration and short-circuited careers.",,,https://xtech-ventures.co.jp/,,,"['Japan', 'Italy', 'United Arab Emirates']","Focus areas: Software, Information Technology, Media and Entertainment. Stage focus: Seed, Funding Round, Series A. XTech Ventures aims to achieve dramatic growth for investee companies by supporting entrepreneurship, multifaceted management support, and IPO support for the excellent middle class who are enthusiastic about entrepreneurship.. Country: United Arab Emirates. Target countries: Japan, Italy, United Arab Emirates. Portfolio: Medigle â€” Medigle is a consulting firm that provides medical consulting and B2B services.\nInfobox â€” Infobox is a sales data platform that includes every detail from market research to creating a list of companies and contacting decision-makers.\nLeading Mark â€” Leading Mark, a rising human resources startup in Japan. Leading Mark is branching out into mid-career and international hiring. It currently has a one-man team in China working to bring the top Japanese-speaking Chinese students to domestic companies. He also touts his startupâ€™s focus on the average job seeker. â€œWe want to make sure that the usersget the info that he or she needs the most,â€_x009d_ he says. Large scale, legacy players can sometimes prioritize the needs of the hiring company, and their commission, over the needs of applicants themselves. This leads to frustration and short-circuited careers.",United Arab Emirates
fahad sami al-hukair,VC Fund,"Singapore, Central Region, Singapore",United Arab Emirates,Fahad Sami Al-Hukair,Software / SaaS,United Arab Emirates,,Pre-Seed,,,,,,,,,,,,,"ToggleMarket â€” ToggleMarket is a B2B digital marketspace facilitating and powering secure multi-tenant interactions across the supply chains of non-standard goods - from procurement to fulfilment - through its advanced infrastructure e-commerce technology, and dedicated industry specific web platforms for Hospitality, Healthcare, Education and Construction.Toggle Market is an end-to-end highway for B2B procurement connecting pre-qualified buyers and suppliers with robust enterprise level workflow tools to manage complex multi-stakeholder transactions driving greater efficiencies in managing pre-opening procurement needs.",,,https://www.alhokair.com/,,,['United Arab Emirates'],"Focus areas: B2B, SaaS, Software. Stage focus: Pre-Seed. Fahad Sami Al-Hukair. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: ToggleMarket â€” ToggleMarket is a B2B digital marketspace facilitating and powering secure multi-tenant interactions across the supply chains of non-standard goods - from procurement to fulfilment - through its advanced infrastructure e-commerce technology, and dedicated industry specific web platforms for Hospitality, Healthcare, Education and Construction.Toggle Market is an end-to-end highway for B2B procurement connecting pre-qualified buyers and suppliers with robust enterprise level workflow tools to manage complex multi-stakeholder transactions driving greater efficiencies in managing pre-opening procurement needs.",United Arab Emirates
nftboi â€_x008f_â€_x008f_â€ž â€žâ€_x008f_â€_x008f_â€ž â€ž,Angel,"Mumbai, Maharashtra, India",United Arab Emirates,NFTboi is the founder of BoiLabs.,"Gaming & Entertainment, Media & Marketing, Blockchain & Crypto",United Arab Emirates,,Angel,,,,,,,,,,,,,"Liquidium â€” Liquidium is the leading decentralized Bitcoin lending protocol where users can borrow BTC against Ordinals, Runes & BRC-20 and lend BTC to earn up to 380% APY.\nTokyo Beast â€” Tokyo Beast is powered by a diverse range of content, including gaming, cryptocurrency generation and management, and betting. At its heart is a cryptocurrency-based betting system.",,,https://x.com/nftboi_,,,['United Arab Emirates'],"Focus areas: Gaming, Cryptocurrency, Media and Entertainment. Stage focus: Angel. NFTboi is the founder of BoiLabs.. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Liquidium â€” Liquidium is the leading decentralized Bitcoin lending protocol where users can borrow BTC against Ordinals, Runes & BRC-20 and lend BTC to earn up to 380% APY.\nTokyo Beast â€” Tokyo Beast is powered by a diverse range of content, including gaming, cryptocurrency generation and management, and betting. At its heart is a cryptocurrency-based betting system.",United Arab Emirates
vondoom â˜•ï¸_x008f_,Angel,"Mumbai, Maharashtra, India",United Arab Emirates,"VonDoom ia CoFounder at cmnd_line,loveless_city.","Gaming & Entertainment, Media & Marketing, Blockchain & Crypto",United Arab Emirates,,Angel,,,,,,,,,,,,,"Tokyo Beast â€” Tokyo Beast is powered by a diverse range of content, including gaming, cryptocurrency generation and management, and betting. At its heart is a cryptocurrency-based betting system.",,,https://x.com/CryptoVonDoom,,,['United Arab Emirates'],"Focus areas: Gaming, Cryptocurrency, Media and Entertainment. Stage focus: Angel. VonDoom ia CoFounder at cmnd_line,loveless_city.. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Tokyo Beast â€” Tokyo Beast is powered by a diverse range of content, including gaming, cryptocurrency generation and management, and betting. At its heart is a cryptocurrency-based betting system.",United Arab Emirates
316 investments,Angel,"Mumbai, Maharashtra, India",United Arab Emirates,316 Investments is a group of private investment companies focused on early stage opportunities with high potential companies with strong...,Gaming & Entertainment,"United States, United Arab Emirates",,Seed,,,,,,,,,,,,,"Katana Inu â€” Katana Inu promotes gaming innovation by merging gaming and blockchain. As an all-encompassing ecosystem for gamers and traders, powered by Defi and NFT, Katana Inu's objective is to create a system where gamers can earn from their playtime.\nBoosterville â€” Boosterville, a card-linked loyalty platform, connects merchants and cause-driven buyers together to raise funds for NPOs.",,,http://www.316invest.com/,,"https://www.facebook.com/hanovercollege , [https://www.twitter.com/hanovercollege","['United States', 'United Arab Emirates']","Focus areas: Local, Gaming, Mobile. Stage focus: Seed. 316 Investments is a group of private investment companies focused on early stage opportunities with high potential companies with strong.... Country: United Arab Emirates. Target countries: United States, United Arab Emirates. Portfolio: Katana Inu â€” Katana Inu promotes gaming innovation by merging gaming and blockchain. As an all-encompassing ecosystem for gamers and traders, powered by Defi and NFT, Katana Inu's objective is to create a system where gamers can earn from their playtime.\nBoosterville â€” Boosterville, a card-linked loyalty platform, connects merchants and cause-driven buyers together to raise funds for NPOs.",United Arab Emirates
razor capital,Angel,"Kuwait, Al Kuwayt, Kuwait",United Arab Emirates,Razor Capital is a venture firm focused on unearthing unique investment opportunities.,"Media & Marketing, Food & Beverage / AgriTech","Bangladesh, United Arab Emirates",,"Seed, Series B",,,,,,,,,,,,,"Podeo â€” Podeo is the Arab world's largest podcasting platform, dedicated to managing, distributing, and producing audio podcasts. Podeo owns the largest Arabic podcast catalog in the world and distributes audio to millions of listeners.\nChaldal â€” Order grocery and food online with same-day home delivery. Save money, save time",,,https://razorcap.co/,,,"['Bangladesh', 'United Arab Emirates']","Focus areas: Audio, Music, Grocery. Stage focus: Seed, Series B. Razor Capital is a venture firm focused on unearthing unique investment opportunities.. Country: United Arab Emirates. Target countries: Bangladesh, United Arab Emirates. Portfolio: Podeo â€” Podeo is the Arab world's largest podcasting platform, dedicated to managing, distributing, and producing audio podcasts. Podeo owns the largest Arabic podcast catalog in the world and distributes audio to millions of listeners.\nChaldal â€” Order grocery and food online with same-day home delivery. Save money, save time",United Arab Emirates
edge global holding,VC Fund,"Hong Kong, Hong Kong Island, Hong Kong",United Arab Emirates,Looking to take your business to the next level?,"Healthcare, Software / SaaS",United Arab Emirates,,Seed,,,,,,,,,,,,,"MyBenefits Technolgoies â€” MyBenefits offers corporates a flexible and scalable solution to standardize staff discounts, flexible benefits and wellness initiatives throughout all markets. HR teams and managers are able to manage access, distribute rewards, monitor usage, and customize what content is displayed through an easy to use admin tool. With a simple requestMyBenefits can turn on hundreds of staff discounts in any market, anywhere.Employees have access to an app based on their work ID and able to use exclusive discounts, offers and access events specifically because they work for an organization.",,,https://edge-holdings.com/,,,['United Arab Emirates'],"Focus areas: SaaS, Software, Wellness. Stage focus: Seed. Looking to take your business to the next level?. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: MyBenefits Technolgoies â€” MyBenefits offers corporates a flexible and scalable solution to standardize staff discounts, flexible benefits and wellness initiatives throughout all markets. HR teams and managers are able to manage access, distribute rewards, monitor usage, and customize what content is displayed through an easy to use admin tool. With a simple requestMyBenefits can turn on hundreds of staff discounts in any market, anywhere.Employees have access to an app based on their work ID and able to use exclusive discounts, offers and access events specifically because they work for an organization.",United Arab Emirates
audacia capital,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Audacia Capital is a Dubai based focused investment bank with a primary focus on private equity.,Fashion & Lifestyle,"France, United States, United Arab Emirates",,"Seed, Series B, Funding Round",,,,,,,,,,,,,"Ekar â€” Ekar is a convenient and flexible pay-as-you-drive hourly and daily car rental service. With Ekar, users can search, book, and unlock cars safely and securely for personal driving use, through a smartphone app and installed technology in rental cars. Ekar was founded on 2016 and is headquartered in Dubai, United Arab Emirates.\nNiftify â€” Niftify is a platform where users can create, sell, buy, and swap NFTs.\nUniversal Beauty Group â€” Nous dÃ©ployons nos savoirs en matiÃ¨re de crÃ©ation de produits Ã forte valeur ajoutÃ©e autour de la beautÃ© & santÃ© du corps, des cheveux, de la peau et de lâ€™Ã¢me... AncrÃ©s en Provence, nous concevons, crÃ©ons, et distribuons une gamme alternative complÃ¨te dont le concept global se place sous l'Ã©gide du vÃ©gÃ©tal, de l'innovation de laqualitÃ© et de lâ€™efficacitÃ© et du dÃ©veloppement durable. Nos marques : VÃ©gÃ©talement Provence, leader franÃ§ais de la cosmÃ©tique vÃ©gÃ©tale Ã destination des professionnels de la beautÃ©, Delabre & Faraco, accessoires beautÃ© innovants et de qualitÃ© et Kusunoki, ciseaux pour les coiffeurs.",,,http://www.audaciacapital.com/Assets/index.html,,,"['France', 'United States', 'United Arab Emirates']","Focus areas: Beauty, Rental, Fashion. Stage focus: Seed, Series B, Funding Round. Audacia Capital is a Dubai based focused investment bank with a primary focus on private equity.. Country: United Arab Emirates. Target countries: France, United States, United Arab Emirates. Portfolio: Ekar â€” Ekar is a convenient and flexible pay-as-you-drive hourly and daily car rental service. With Ekar, users can search, book, and unlock cars safely and securely for personal driving use, through a smartphone app and installed technology in rental cars. Ekar was founded on 2016 and is headquartered in Dubai, United Arab Emirates.\nNiftify â€” Niftify is a platform where users can create, sell, buy, and swap NFTs.\nUniversal Beauty Group â€” Nous dÃ©ployons nos savoirs en matiÃ¨re de crÃ©ation de produits Ã forte valeur ajoutÃ©e autour de la beautÃ© & santÃ© du corps, des cheveux, de la peau et de lâ€™Ã¢me... AncrÃ©s en Provence, nous concevons, crÃ©ons, et distribuons une gamme alternative complÃ¨te dont le concept global se place sous l'Ã©gide du vÃ©gÃ©tal, de l'innovation de laqualitÃ© et de lâ€™efficacitÃ© et du dÃ©veloppement durable. Nos marques : VÃ©gÃ©talement Provence, leader franÃ§ais de la cosmÃ©tique vÃ©gÃ©tale Ã destination des professionnels de la beautÃ©, Delabre & Faraco, accessoires beautÃ© innovants et de qualitÃ© et Kusunoki, ciseaux pour les coiffeurs.",United Arab Emirates
precept capital management,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Precept Capital Management,"FinTech, Media & Marketing","United States, United Arab Emirates",,"Seed, Series A, Series B",,,,,,,,,,,,,"PayTap â€” Thank you for a copy and paste to your social media:https://fundraisers.hakuapp.com/newyorkcitymarathonThe New York City Marathon is Sunday, November 6th and I can't wait. I have a short time frame and high goal to reach, but with you can help put m...\nPrizeout â€” Earned money online? Use Prizeout to get more value, faster, by shopping with brands you love.\nValkyrie Investments â€” Valkyrie is a specialized alternative asset management firm at the intersection of traditional finance & the emerging cryptocurrency sector.",,,http://www.preceptcapital.net/,,,"['United States', 'United Arab Emirates']","Focus areas: FinTech, Payments, Marketing. Stage focus: Seed, Series A, Series B. Precept Capital Management. Country: United Arab Emirates. Target countries: United States, United Arab Emirates. Portfolio: PayTap â€” Thank you for a copy and paste to your social media:https://fundraisers.hakuapp.com/newyorkcitymarathonThe New York City Marathon is Sunday, November 6th and I can't wait. I have a short time frame and high goal to reach, but with you can help put m...\nPrizeout â€” Earned money online? Use Prizeout to get more value, faster, by shopping with brands you love.\nValkyrie Investments â€” Valkyrie is a specialized alternative asset management firm at the intersection of traditional finance & the emerging cryptocurrency sector.",United Arab Emirates
metabros,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,"At MetaBros, we are more than just a marketing agency; we are your trusted partner in navigating the dynamic world of Web3. We specialize in crafting tailor-made marketing campaigns that not only expand your community but also ensure your message resonates with the right audience.","Gaming & Entertainment, Blockchain & Crypto","Portugal, United Arab Emirates",,"Seed, Funding Round",,,,,,,,,,,,,"Eesee â€” Company based in British Virgin Islands.\nGAM3S.GG â€” The future of gaming offering game discovery, reviews, guides, news & quests for a full experience across web3, Steam, and Epic Games.\nTren Finance â€” Tren Finance: a secure DeFi liquidity protocol offering seamless asset swaps, yield opportunities, and cross-chain compatibility through automated smart contracts, redefining liquidity for users and institutions.",,,https://www.metabros.io/,,,"['Portugal', 'United Arab Emirates']","Focus areas: Web3, Gaming, Web Apps. Stage focus: Seed, Funding Round. At MetaBros, we are more than just a marketing agency; we are your trusted partner in navigating the dynamic world of Web3. We specialize in crafting tailor-made marketing campaigns that not only expand your community but also ensure your message resonates with the right audience.. Country: United Arab Emirates. Target countries: Portugal, United Arab Emirates. Portfolio: Eesee â€” Company based in British Virgin Islands.\nGAM3S.GG â€” The future of gaming offering game discovery, reviews, guides, news & quests for a full experience across web3, Steam, and Epic Games.\nTren Finance â€” Tren Finance: a secure DeFi liquidity protocol offering seamless asset swaps, yield opportunities, and cross-chain compatibility through automated smart contracts, redefining liquidity for users and institutions.",United Arab Emirates
b&y venture capital partners,VC Fund,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,"Our team of former founders backs phenomenal early-stage founders, providing empathetic support and invaluable connections to help them scale globally.","Software / SaaS, Tourism & Hospitality, Transportation & Mobility","United States, United Arab Emirates",,"Seed, Series A",,,,,,,,,,,,,"DHARMA â€” DHARMA brings global IP to life through extraordinary experiences.\nSystemOne â€” SystemOne connects medical diagnostic devices for disease response and pandemic preparedness. From sample registration to treatment confirmation, our software collects and transmits critical data to link positive patients to treatment, provide clinical follow-up, and shine a light into device operations, so health programs can optimize their use of expensive supplies and address operational challenges within hours or days, instead of weeks or months.",,,https://byvp.com/,,,"['United States', 'United Arab Emirates']","Focus areas: Travel, Tourism, Software. Stage focus: Seed, Series A. Our team of former founders backs phenomenal early-stage founders, providing empathetic support and invaluable connections to help them scale globally.. Country: United Arab Emirates. Target countries: United States, United Arab Emirates. Portfolio: DHARMA â€” DHARMA brings global IP to life through extraordinary experiences.\nSystemOne â€” SystemOne connects medical diagnostic devices for disease response and pandemic preparedness. From sample registration to treatment confirmation, our software collects and transmits critical data to link positive patients to treatment, provide clinical follow-up, and shine a light into device operations, so health programs can optimize their use of expensive supplies and address operational challenges within hours or days, instead of weeks or months.",United Arab Emirates
crown fund,VC Fund,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,"Crown Fund is an institutional umbrella fund for public, private and real estate investments.","Software / SaaS, Transportation & Mobility, Tourism & Hospitality",United Arab Emirates,,Seed,,,,,,,,,,,,,"Lokalee â€” Lokalee is your go-to digital concierge solution that offers you dining recommendations, exquisite experiences and attraction tickets in your city.",,,https://www.crownfunds.com/,,,['United Arab Emirates'],"Focus areas: Apps, Hotel, Travel. Stage focus: Seed. Crown Fund is an institutional umbrella fund for public, private and real estate investments.. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Lokalee â€” Lokalee is your go-to digital concierge solution that offers you dining recommendations, exquisite experiences and attraction tickets in your city.",United Arab Emirates
dubai integrated economic zones authority,VC Fund,"Ramallah, West Bank, Palestinian Territory",United Arab Emirates,"After a fantastic 2021 with a record number of new companies and after the merger of DSOA, DAFSA and Dubai E-commerce zone into DIEZ",Manufacturing & Industry,United Arab Emirates,,Series A,,,,,,,,,,,,,"Ogram â€” Ogram provides temporary and part-time staffing solutions for business that are looking to grow and improve their workflow. Hire Waiters, Runners, Kitchen Staff, Retail Staff, Warehouse Staff, E-Pickers and more.",,,https://www.diez.ae/,,,['United Arab Emirates'],"Focus areas: Recruiting, Staffing Agency, Information Technology. Stage focus: Series A. After a fantastic 2021 with a record number of new companies and after the merger of DSOA, DAFSA and Dubai E-commerce zone into DIEZ. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Ogram â€” Ogram provides temporary and part-time staffing solutions for business that are looking to grow and improve their workflow. Hire Waiters, Runners, Kitchen Staff, Retail Staff, Warehouse Staff, E-Pickers and more.",United Arab Emirates
melrose capital,VC Fund,"Dammam, Ash Sharqiyah, Saudi Arabia",United Arab Emirates,Melrose Capital is an investment firm that helps clients build their businesses and organizations with complete commitment & confidence.,"FinTech, Software / SaaS",United Arab Emirates,,Pre-Seed,,,,,,,,,,,,,"Savii â€” Banking for HER. A women-centric neobank and investing platform, focusing on financial empowerment, education, and community.",,,https://melrosecapital.ae/,,,['United Arab Emirates'],"Focus areas: Banking, FinTech, Mobile Apps. Stage focus: Pre-Seed. Melrose Capital is an investment firm that helps clients build their businesses and organizations with complete commitment & confidence.. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Savii â€” Banking for HER. A women-centric neobank and investing platform, focusing on financial empowerment, education, and community.",United Arab Emirates
game7,VC Fund,"Dammam, Ash Sharqiyah, Saudi Arabia",United Arab Emirates,Level up with Game7. Join a global Web3 community shaping the future of games. Join the Web3 gaming revolution.,"Gaming & Entertainment, Software / SaaS, Blockchain & Crypto","United States, United Arab Emirates",,"Seed, Pre-Seed, Series A",,,,,,,,,,,,,"HyperPlay â€” HyperPlay facilitates web3 desktop gaming.\nGamePhilos â€” GamePhilos is to offer player digital ownership to mobile strategy games.\nKratos Gamer Network (KGeN) â€” Discover KGeN, where gaming meets the future. Dive into a world of cutting-edge technology and immersive experiences, designed for the next generation of gamers. Join us and redefine the way you play",,,https://game7.io/,,,"['United States', 'United Arab Emirates']","Focus areas: Gaming, Blockchain, Mobile Apps. Stage focus: Seed, Pre-Seed, Series A. Level up with Game7. Join a global Web3 community shaping the future of games. Join the Web3 gaming revolution.. Country: United Arab Emirates. Target countries: United States, United Arab Emirates. Portfolio: HyperPlay â€” HyperPlay facilitates web3 desktop gaming.\nGamePhilos â€” GamePhilos is to offer player digital ownership to mobile strategy games.\nKratos Gamer Network (KGeN) â€” Discover KGeN, where gaming meets the future. Dive into a world of cutting-edge technology and immersive experiences, designed for the next generation of gamers. Join us and redefine the way you play",United Arab Emirates
brevan howard asset management,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Brevan Howard Asset Management LLP is an investment manager authorised and regulated by the Financial Services Authority in the United Kingdom.,"FinTech, Blockchain & Crypto","United States, Cayman Islands, United Arab Emirates",,"Series B, Seed, Funding Round",,,,,,,,,,,,,"PolySign â€” PolySign develops state-of-the-art, secure, scalable infrastructure for financial institutions to fully leverage their digital assets. The company also develops a secure and scalable infrastructure for financial institutions to fully leverage their digital assets. They aim to integrate with existing financial organizations and global markets, andrigorously embrace the highest standards for regulation.\nTRM Labs â€” Next Generation Blockchain Intelligence | Monitor, Investigate, and Mitigate Crypto Fraud and Financial Crime\nWormhole â€” The best way to build multichain",,,http://www.brevanhoward.com/,,,"['United States', 'Cayman Islands', 'United Arab Emirates']","Focus areas: Cryptocurrency, Blockchain, FinTech. Stage focus: Series B, Seed, Funding Round. Brevan Howard Asset Management LLP is an investment manager authorised and regulated by the Financial Services Authority in the United Kingdom.. Country: United Arab Emirates. Target countries: United States, Cayman Islands, United Arab Emirates. Portfolio: PolySign â€” PolySign develops state-of-the-art, secure, scalable infrastructure for financial institutions to fully leverage their digital assets. The company also develops a secure and scalable infrastructure for financial institutions to fully leverage their digital assets. They aim to integrate with existing financial organizations and global markets, andrigorously embrace the highest standards for regulation.\nTRM Labs â€” Next Generation Blockchain Intelligence | Monitor, Investigate, and Mitigate Crypto Fraud and Financial Crime\nWormhole â€” The best way to build multichain",United Arab Emirates
hyperedge capital,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Symbolic Capital is a crypto VC founded by web3 founders. We provide web3 investing with global impact.,"Gaming & Entertainment, Media & Marketing, Blockchain & Crypto","India, United States, United Arab Emirates",,"Seed, Series A",,,,,,,,,,,,,"Colexion â€” Colexion is the most premium blockchain-based NFT marketplace to discover and buy exclusive digital collectibles of megastars curated by top crypto artists.\nStarSharks â€” StarSharks is a NFT-GameFi ecosystem based on the BSC chain developed by game players, governance committees, and game developers. The game integrates different types of games and breaks down barriers found between games by allowing players to use the same character to enter the Shark-metaverse. It enables players come together to build and govern a new metaverse and create a community culture in the Shark-metaverse.\nnCore Games â€” nCore Games is a mobile games and interactive entertainment company.",,,https://www.hyperedge.capital/,,,"['India', 'United States', 'United Arab Emirates']","Focus areas: Gaming, Blockchain, Music. Stage focus: Seed, Series A. Symbolic Capital is a crypto VC founded by web3 founders. We provide web3 investing with global impact.. Country: United Arab Emirates. Target countries: India, United States, United Arab Emirates. Portfolio: Colexion â€” Colexion is the most premium blockchain-based NFT marketplace to discover and buy exclusive digital collectibles of megastars curated by top crypto artists.\nStarSharks â€” StarSharks is a NFT-GameFi ecosystem based on the BSC chain developed by game players, governance committees, and game developers. The game integrates different types of games and breaks down barriers found between games by allowing players to use the same character to enter the Shark-metaverse. It enables players come together to build and govern a new metaverse and create a community culture in the Shark-metaverse.\nnCore Games â€” nCore Games is a mobile games and interactive entertainment company.",United Arab Emirates
